,Date,Tested,Confirmed,Recovered,Death,Active,First Dose Vaccinated,Second Dose Vaccinated,Total Vaccinated,Non-Vaccinated,Male Vaccinated,Female Vaccinated,Transgender Vaccinated,Covishield Doses,Covaxin Doses
112,4/23/2021,10056136,700904,621340,10766,68798,8139244,1641011,9780255,87219745,4365184,3773140,920,8720207,1060048
113,4/24/2021,10111196,713780,628218,10825,74737,8227116,1711307,9938423,87061577,4413135,3813048,933,8863414,1075009
114,4/25/2021,10166796,728061,635802,10884,81375,8243729,1725523,9969252,87030748,4422524,3820268,937,8890664,1078588
115,4/26/2021,10215358,743950,644209,10941,88800,8363314,1865680,10228994,86771006,4487398,3874965,951,9132253,1096741
116,4/27/2021,10270645,759942,653984,11009,94949,8467133,1970532,10437665,86562335,4544342,3921834,957,9317816,1119849
117,4/28/2021,10325581,776345,664648,11082,100615,8539976,2090793,10630769,86369231,4584349,3954665,962,9494410,1136359
118,4/29/2021,10379305,793552,676581,11159,105812,8596240,2185401,10781641,86218359,4614983,3980290,967,9630824,1150817
119,4/30/2021,10432553,810955,689466,11248,110241,8662227,2309721,10971948,86028052,4650922,4010327,978,9800227,1171721
120,5/1/2021,10488850,828366,703398,11344,113624,8689947,2368106,11058053,85941947,4666310,4022654,983,9880929,1177124
121,5/2/2021,10545059,845878,717772,11447,116659,8692844,2373480,11066324,85933676,4667838,4024023,983,9888743,1177581
122,5/3/2021,10600346,863393,733359,11539,118495,8725020,2531077,11256097,85743903,4685336,4038697,987,10064513,1191584
123,5/4/2021,10658094,880894,749296,11637,119961,8750404,2659493,11409897,85590103,4699482,4049922,1000,10205461,1204436
124,5/5/2021,10717613,898533,765843,11744,120946,8764695,2742032,11506727,85493273,4707646,4056047,1002,10292281,1214446
125,5/6/2021,10777718,916635,782916,11847,121872,8777268,2817455,11594723,85405277,4715269,4060997,1002,10367932,1226791
126,5/7/2021,10842269,935066,800328,11964,122774,8808010,3031670,11839680,85160320,4732280,4074724,1006,10593577,1246103
127,5/8/2021,10905646,954282,818108,12076,124098,8823763,3128641,11952404,85047596,4741259,4081493,1011,10691741,1260663
128,5/9/2021,10968741,973718,836351,12203,125164,8825922,3137939,11963861,85036139,4742419,4082492,1011,10700909,1262952
129,5/10/2021,11030927,993159,854805,12327,126027,8844778,3263883,12108661,84891339,4752862,4090901,1015,10815276,1293385
